feature_type,clustering_method,silhouette_score,calinski_harabasz_index,davies_bouldin_index,adjusted_rand_index,normalized_mutual_info,cluster_purity,n_clusters,n_samples,n_noise
audio_betavae,kmeans,0.19167488813400269,142.1202880653705,1.3370550117949573,0.18222404844966061,0.3247295578077206,0.394,10,1000,0.0
audio_betavae,agglomerative,0.1444595754146576,117.54514655138598,1.4742101663976297,0.21371737318653006,0.3479328641599972,0.422,10,1000,0.0
audio_betavae,dbscan,-1.0,0.0,999.0,0.0,0.0,0.0,1,980,
audio_cvae,kmeans,0.15297268331050873,106.56410855075352,1.540480620523709,0.031364361352718965,0.0910608927912208,0.208,10,1000,0.0
audio_cvae,agglomerative,0.10303502529859543,82.671837570528,1.7567720565797635,0.025134870872677795,0.08111921935143306,0.197,10,1000,0.0
audio_cvae,dbscan,-1.0,0.0,999.0,0.0,0.0,0.0,1,981,
audio_ae,kmeans,0.0885365903377533,85.4703193411587,1.8750187251205657,0.16378321989781489,0.3242670884704289,0.398,10,1000,0.0
audio_ae,agglomerative,0.06389407068490982,73.53076551740548,2.055519773484804,0.14296246306658206,0.2938381813022107,0.364,10,1000,0.0
audio_ae,dbscan,-1.0,0.0,999.0,0.0,0.0,0.0,1,971,
audio_pca,kmeans,0.1211485606632777,108.74447607347743,2.0082179802758278,0.1762216998365595,0.3208860436671149,0.391,10,1000,0.0
audio_pca,agglomerative,0.12204944196271052,97.45231191603155,1.9919337231213146,0.19014560069900693,0.350464302819213,0.371,10,1000,0.0
audio_pca,dbscan,-1.0,0.0,999.0,0.0,0.0,0.0,1,972,
lyrics_betavae,kmeans,0.0881756916642189,60.6273990235114,1.9703619879335488,0.001194900179789106,0.02216004016712888,0.153,10,1000,0.0
lyrics_betavae,agglomerative,0.06797628849744797,47.881084942270455,2.21875024067392,-9.314419064710603e-05,0.01989108030821122,0.148,10,1000,0.0
lyrics_betavae,dbscan,-1.0,0.0,999.0,0.0,0.0,0.0,1,996,
lyrics_cvae,kmeans,0.06049374118447304,35.20034188860822,2.537085337392321,-0.0010699584044694102,0.01680608142480643,0.146,10,1000,0.0
lyrics_cvae,agglomerative,0.029235506430268288,26.097605866136604,3.0175064851451348,-0.0014645542333571971,0.015244858947711232,0.138,10,1000,0.0
lyrics_cvae,dbscan,-1.0,0.0,999.0,0.0,0.0,0.0,1,1000,
lyrics_ae,kmeans,0.02221880666911602,31.31625033081737,2.6526085288161374,-0.0012011585581225444,0.0153839935252962,0.147,10,1000,0.0
lyrics_ae,agglomerative,0.00393327372148633,22.944670457840353,3.2076182961112507,-0.00024262775564473473,0.017088610888802626,0.151,10,1000,0.0
lyrics_ae,dbscan,-1.0,0.0,999.0,0.0,0.0,0.0,1,994,
lyrics_pca,kmeans,0.06654724524092581,53.5861406344034,2.1181152672569357,0.00011366012243851739,0.018709420524671862,0.143,10,1000,0.0
lyrics_pca,agglomerative,0.06445868632761557,40.88699447437181,2.4415775350910653,-0.000997698232895333,0.017052632948154026,0.138,10,1000,0.0
lyrics_pca,dbscan,0.5948036415772571,59.87283867471658,0.3934157869871149,-8.884075863746502e-06,0.005017506248843633,0.10251256281407035,2,995,5.0
